ANIMAL,POLLUTANT,FACILITYTYPE,FACILITY TYPE DETAIL,EQUATION,CycleDay,Temperature,LAW,AmbRH,Windspeed,Inventory,PARAMETERSNEEDED,ei,C,k,UNITS,NOTES,EQFUNCT
POULTRY,H2S,Broiler,DEFAULT,eqb2,0,1,1,1,0,0,"Temperature, AmbRH, LAW",1.32433,10,999,g,NA,"function(LAW,Temperature,AmbRH){2.824278+0.016214*LAW+0.015048*Temperature+0.004429*AmbRH}"
POULTRY,PM10,Broiler,DEFAULT,eqb3,0,1,1,1,0,0,"Temperature, AmbRH, LAW",NA,NA,999,g,NA,"function(LAW,Temperature,AmbRH){397.28057+40.872002*LAW+10.401892*Temperature-6.584463*AmbRH}"
POULTRY,PM2.5,Broiler,DEFAULT,eqb4,0,1,1,1,0,0,"Temperature, AmbRH, LAW",NA,NA,999,g,NA,"function(LAW,Temperature,AmbRH){15.776704+4.087002*LAW+1.308433*Temperature-0.464143*AmbRH}"
POULTRY,TSP,Broiler,DEFAULT,eqb5,0,1,1,1,0,0,"Temperature, AmbRH, LAW",NA,NA,999,g,NA,"function(LAW,Temperature,AmbRH){1518.9199+85.598315*LAW+22.632906*Temperature-21.28833*AmbRH}"
POULTRY,NH3,Layer,HighRise,eql1,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.58238,0,999,kg,NA,"function(Inventory,Temperature,AmbRH){2.6598+0.0059*Inventory+0.0387*Temperature+0.0018*AmbRH}"
POULTRY,H2S,Layer,HighRise,eql2,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.24359,15,999,g,NA,"function(Inventory,Temperature,AmbRH){2.7231+0.0098*Inventory+0.0210*Temperature+0.0038*AmbRH}"
POULTRY,PM10,Layer,HighRise,eql3,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.11745,494,999,g,NA,"function(Inventory,Temperature,AmbRH){6.8702+0.0077*Inventory+0.0145*Temperature-0.0030*AmbRH}"
POULTRY,PM2.5,Layer,HighRise,eql4,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.51089,37,999,g,NA,"function(Inventory,Temperature,AmbRH){4.6219+0.0080*Inventory+0.0510*Temperature-0.0181*AmbRH}"
POULTRY,TSP,Layer,HighRise,eql5,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.11429,0,999,g,NA,"function(Inventory,Temperature,AmbRH){7.5995+0.0079*Inventory+0.0137*Temperature-0.0058*AmbRH }"
POULTRY,NH3,Layer,ManureBelt,eql6,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.27315,0,999,kg,NA,"function(Inventory,Temperature,AmbRH){2.4392+0.0047*Inventory+0.0294*Temperature+0.0019*AmbRH}"
POULTRY,H2S,Layer,ManureBelt,eql7,0,1,0,1,0,1,"Temperature, AmbRH, Inventory",1.09812,39,999,g,NA,"function(Inventory,Temperature,AmbRH){3.7391+0.0073*Inventory+0.0222*Temperature+0.0048*AmbRH}"
POULTRY,PM10,Layer,ManureBelt,eql8,0,0,0,0,0,1,Inventory,1.45218,1045,999,g,NA,function(Inventory){6.631005+0.007205*Inventory}
POULTRY,PM2.5,Layer,ManureBelt,eql9,0,0,0,0,0,1,Inventory,2.97703,108,999,g,NA,function(Inventory){-127.4489+0.534577*Inventory}
POULTRY,TSP,Layer,ManureBelt,eql10,0,0,0,0,0,1,Inventory,1.34146,696,999,g,NA,function(Inventory){6.936206+0.00987*Inventory}
POULTRY,NH3,Layer,ManureShed,eql11,0,1,0,0,0,1,"Temperature, Inventory",1.28615,1.3,999,kg,Inventorywith5daylag,"function(Inventory,Temperature){-0.194945+0.003927*Inventory-0.013752*Temperature}"
POULTRY,H2S,Layer,ManureShed,eql12,0,1,0,0,0,1,"Temperature, Inventory",1.36619,6,999,g,Inventorywith5daylag,"function(Inventory,Temperature){1.295775+0.004976*Inventory-0.024164*Temperature}"
POULTRY,PM10,Layer,ManureShed,eql13,0,0,0,0,0,1,Inventory,1.68902,54,999,g,Inventorywith5daylag,function(Inventory){4.5366+0.000732*Inventory}
POULTRY,PM2.5,Layer,ManureShed,eql14,0,0,0,0,0,1,Inventory,1.68697,0,999,g,Inventorywith5daylag,function(Inventory){-30.57734+0.067599*Inventory}
POULTRY,TSP,Layer,ManureShed,eql15,0,0,0,0,0,1,Inventory,2.01361,30,999,g,Inventorywith5daylag,function(Inventory){4.041666+0.002286*Inventory}
